netst,stlo,stla
UO.ALSE,-123.590424,44.381817
UO.BEER,-123.847252,44.107738
UO.BUCK,-122.986191,44.197311
UO.CAVE,-123.570709,42.120869
UO.CHIL,-121.753639,42.624561
UO.DBO,-123.244423,43.118721
UO.DFAZ,-122.109299,43.240601
UO.DING,-124.053993,42.861889
UO.DRAN,-123.348709,43.697159
UO.FHAC,-121.339523,44.338581
UO.GROV,-123.157417,45.537994
UO.HBUG,-124.379433,42.640789
UO.IRYS,-123.256973,43.885590
UO.JAZZ,-118.934486,43.034016
UO.JESE,-121.316704,45.242199
UO.KBO,-124.225983,42.212357
UO.KEB,-124.334190,42.872353
UO.KUHN,-122.895790,45.785210
UO.LAIR,-123.931396,43.161499
UO.LOKI,-123.107529,45.062069
UO.MARQ,-122.668533,45.065918
UO.MINN,-123.264099,45.211498
UO.MONKS,-123.003616,45.994202
UO.NATH,-122.411346,43.794102
UO.NBFR,-123.853233,45.726151
UO.OTLW,-121.574440,44.296738
UO.PERY,-123.260193,45.040920
UO.PF27,-122.760017,45.544685
UO.PINE,-120.940659,43.792110
UO.RAIN,-123.010818,46.082859
UO.ROGE,-123.665398,42.695499
UO.RSBO,-122.267036,44.043362
UO.SALT,-122.588409,42.493370
UO.SISQ,-123.632324,42.275352
UO.TOOM,-121.234703,43.284901
UO.TRIPT,-123.643761,45.629532
UO.UCHR,-123.870911,44.834572
UO.VERN,-123.247520,45.853100
UO.VINO,-123.421547,43.428478
UO.VITI,-123.318085,44.281570
UO.WIKI,-123.585258,46.105888
UO.WLOO,-122.737694,44.523418
UO.WOOD,-122.304604,42.217899
UO.WYLD,-123.429207,43.144474
UW.ANGUS,-123.492767,47.100842
UW.ARTIC,-123.758667,46.805210
UW.ASR2,-121.597389,46.139690
UW.BABR,-123.789238,44.621319
UW.BBO,-122.679703,42.888149
UW.BDGR,-120.297638,46.857632
UW.BERY,-122.096001,48.264099
UW.BES3,-122.525337,47.642021
UW.BES4,-122.646469,47.642681
UW.BES5,-122.568871,47.584480
UW.BHAM,-122.417519,48.787239
UW.BHCR,-118.040871,48.128769
UW.BHW,-122.032806,47.836090
UW.BICK,-120.339447,46.040115
UW.BLOW,-122.186203,44.683701
UW.BOIS,-123.130180,46.550541
UW.BRAN,-117.227699,45.973400
UW.BRO,-122.453163,44.267208
UW.BST01,-122.391701,47.681702
UW.BST02,-122.304939,47.670132
UW.BST03,-122.361900,47.715389
UW.BST04,-122.294830,47.700890
UW.BST05,-122.327637,47.682049
UW.BST06,-122.276711,47.704140
UW.BST07,-122.348801,47.665379
UW.BST08,-122.365562,47.680519
UW.BST09,-122.308990,47.653999
UW.BST10,-122.306931,47.674980
UW.BST11,-122.328827,47.641972
UW.BST12,-122.374001,47.640751
UW.BST13,-122.518311,47.576431
UW.BST14,-122.516510,47.660439
UW.BST15,-122.225441,47.576012
UW.BST16,-122.549522,47.544941
UW.BST17,-122.471626,47.495270
UW.BST18,-122.313057,47.492580
UW.BST19,-122.908989,47.620590
UW.BST20,-122.748940,47.654991
UW.BST21,-123.028229,47.399220
UW.BST22,-122.884773,47.427380
UW.BST23,-123.068977,47.499840
UW.BST24,-122.189957,47.441254
UW.BST25,-122.113792,47.304283
UW.BST26,-122.269241,47.172806
UW.BST28,-122.269699,47.349514
UW.BST29,-122.223015,47.707245
UW.BST30,-122.123398,47.731972
UW.CBS,-120.042847,47.804691
UW.CCRK,-119.854797,46.558498
UW.CHIMA,-122.780579,48.010509
UW.CINE,-122.567299,46.556599
UW.CORE,-123.913597,46.925701
UW.COUGS,-117.133919,46.729671
UW.COWL,-122.664612,46.482040
UW.COWS,-121.930748,47.665600
UW.COYL,-122.788162,47.697109
UW.CROWN,-124.478844,48.302929
UW.CVILL,-117.873154,48.554520
UW.DATON,-117.926529,46.263729
UW.DAVN,-118.274101,47.800598
UW.DDRF,-119.059502,46.491100
UW.DEAL,-123.558861,46.741001
UW.DONK,-122.156731,48.423840
UW.DOORS,-123.257263,47.054611
UW.DOSE,-122.971802,47.717201
UW.DOTY,-123.369232,46.704639
UW.DY2,-119.772499,47.985031
UW.EDM,-122.151207,46.197170
UW.ELW,-121.872673,47.494099
UW.EPH2,-119.611687,47.370659
UW.EQUIL,-122.854080,47.835159
UW.ERW,-122.626007,48.453838
UW.ETW,-120.332359,47.604549
UW.FISH,-123.559097,45.930599
UW.FISH2,-123.499367,45.927509
UW.FMW,-121.671463,46.941914
UW.FORK,-124.566200,47.947498
UW.GBB,-119.628983,46.608688
UW.GNW,-122.824982,47.564129
UW.GOBBL,-118.730194,48.674660
UW.GUEM,-122.630142,48.546669
UW.H2O,-119.424110,46.395550
UW.HANS,-122.569412,47.907360
UW.HDW,-123.055496,47.648312
UW.HERD,-123.653099,47.227570
UW.HILL,-122.447021,48.388062
UW.HOOD,-121.650932,45.322262
UW.HOPR,-120.894302,47.922901
UW.HOQUI,-123.956596,47.080750
UW.HSR,-122.180603,46.174171
UW.HTW,-121.769142,47.804169
UW.INGAL,-123.181992,46.720871
UW.IRON,-118.474297,43.358002
UW.IZEE,-119.504204,44.082001
UW.JEDS,-124.049049,43.751572
UW.KENT,-120.635101,45.235699
UW.KNGST,-122.514687,47.802719
UW.KREP,-121.459702,45.885201
UW.KTSAP,-122.938744,47.518398
UW.LBRT,-117.324921,47.382370
UW.LCCR,-122.478401,45.205898
UW.LCV,-118.276939,46.007992
UW.LEID,-123.465057,46.829418
UW.LIGO,-119.417686,46.461704
UW.LMONT,-117.899857,47.203640
UW.LNO,-118.287392,45.871712
UW.LOKMT,-120.789398,47.149632
UW.LON,-121.809601,46.750599
UW.LRIV,-123.503998,48.057499
UW.LTY,-120.666359,47.254509
UW.LUMI,-122.706299,48.720100
UW.MANO,-120.724693,46.951103
UW.MDW,-119.762154,46.613022
UW.MJO1,-121.938004,48.582321
UW.MONTE,-123.575111,47.024109
UW.MOODY,-124.014183,47.208931
UW.MORSE,-122.514481,47.689011
UW.MOX,-120.299339,46.577179
UW.MRBL,-121.484497,48.518299
UW.MULN,-122.064407,48.535439
UW.NATEM,-122.818520,48.105869
UW.NEL,-120.339508,48.078018
UW.NEMA,-123.749969,46.497410
UW.NIKE,-119.532730,46.391899
UW.OLQN,-123.812523,47.513248
UW.OMAK,-119.333199,48.358398
UW.OSQM,-123.131393,48.043221
UW.OSR,-123.965927,47.505341
UW.OT3,-119.234131,46.668861
UW.OTR,-124.345177,48.086319
UW.PAN4H,-123.269577,47.175869
UW.PASS,-122.085197,48.998299
UW.PHIN,-119.927803,45.895100
UW.PRIN,-122.630852,48.211720
UW.PRO,-119.686813,46.212521
UW.RAD1,-122.363335,47.636131
UW.RAD2,-122.358353,47.631645
UW.RAD3,-122.362602,47.633865
UW.RAD4,-122.354973,47.638039
UW.RAD5,-122.356667,47.635693
UW.RAD6,-122.351166,47.633671
UW.RADR,-123.798973,46.421810
UW.RATT,-121.802544,47.425461
UW.RCM,-121.732979,46.835640
UW.RER,-121.842499,46.818581
UW.RNWY,-123.126297,48.612061
UW.RPW2,-121.526497,48.444931
UW.RVSD,-117.356796,47.964771
UW.SALO,-122.373100,47.951450
UW.SAW,-119.401657,47.701870
UW.SEAS2,-123.895699,46.035648
UW.SHUK,-121.676949,48.852840
UW.SHW,-122.234917,46.193642
UW.SKOKO,-123.366501,47.409081
UW.SLDQ,-124.140923,48.062241
UW.SLF,-120.529457,47.760578
UW.SNAG,-124.519814,48.206478
UW.SNI2,-119.655151,46.464802
UW.SP2,-122.249229,47.556290
UW.SSO2,-122.483437,44.841179
UW.STOR,-121.988800,47.188099
UW.TBLMT,-120.598267,47.173100
UW.TDH,-121.791443,45.289997
UW.TNSKT,-119.442207,48.722301
UW.TOLE,-122.845398,46.452694
UW.TOLT,-121.689499,47.694698
UW.TOUCH,-118.631187,46.022839
UW.TREE,-120.893402,42.725800
UW.TUCA,-118.145500,46.513901
UW.TWISP,-120.119759,48.461071
UW.UGAP1,-120.469429,46.531261
UW.UGP4,-120.446373,46.530231
UW.UMAT,-118.959503,45.290401
UW.WA2,-119.566811,46.755192
UW.WAT2,-120.114433,47.620239
UW.WATCH,-121.987122,46.570702
UW.WHGC,-123.729866,46.655991
UW.WISH,-123.771179,47.116982
UW.WOLL,-118.920998,47.057301
UW.WPEQ,-121.404488,46.613277
UW.WRW,-120.883003,47.856651
UW.WYNO,-123.612961,47.433922
UW.YACT,-122.419296,45.932499
UW.YPT,-118.963173,46.048351
